Total marks,Percentage in Communication skills,Hours working per day,Logical quotient rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Higher Studies?,Taken inputs from seniors or elders,interested in games,Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,interested career area ,Interested Type of Books
84,61,9,4,8,yes,yes,yes,no,yes,3,3,higherstudies,no,no,stubborn,Management,hard worker,yes,no,Database Developer,system developer,Prayer books
84,91,12,7,3,yes,no,yes,no,no,1,2,job,yes,yes,gentle,Technical,hard worker,no,yes,Portal Administrator,Business process analyst,Childrens
72,94,11,1,3,yes,no,yes,no,yes,1,3,higherstudies,yes,yes,stubborn,Management,hard worker,no,yes,Portal Administrator,developer,Travel
88,69,7,1,5,no,yes,no,yes,no,2,3,higherstudies,no,no,gentle,Management,smart worker,yes,yes,Systems Security Administrator,testing,Romance
71,73,4,5,3,no,no,no,no,no,1,3,higherstudies,no,yes,stubborn,Management,hard worker,yes,yes,Business Systems Analyst,testing,Cookbooks
71,82,11,5,1,yes,yes,no,no,no,1,2,job,yes,yes,stubborn,Management,smart worker,yes,no,Software Systems Engineer,system developer,Self help
63,77,6,3,3,no,no,yes,no,no,3,1,job,no,no,gentle,Technical,hard worker,yes,yes,Database Developer,security,Drama
94,60,12,2,6,yes,no,no,no,yes,1,3,higherstudies,no,no,stubborn,Technical,smart worker,no,no,Business Intelligence Analyst,developer,Romance
87,90,10,5,8,no,yes,no,yes,no,1,1,higherstudies,no,no,gentle,Technical,hard worker,yes,yes,Business Systems Analyst,developer,Math
63,81,10,9,4,no,no,yes,yes,yes,3,1,job,no,no,gentle,Management,hard worker,yes,no,CRM Technical Developer,Business process analyst,Religion-Spirituality
94,89,8,6,9,yes,no,no,no,yes,2,1,higherstudies,no,yes,stubborn,Management,hard worker,yes,yes,Mobile Applications Developer,security,Cookbooks
89,85,8,3,7,no,yes,no,yes,yes,2,3,higherstudies,yes,no,stubborn,Management,smart worker,yes,no,UX Designer,testing,Anthology
64,79,8,2,6,yes,no,yes,yes,no,2,1,higherstudies,yes,no,stubborn,Technical,smart worker,yes,no,CRM Technical Developer,system developer,Trilogy
81,91,12,5,5,no,no,yes,no,no,1,1,higherstudies,no,yes,stubborn,Management,smart worker,yes,yes,Business Systems Analyst,developer,Autobiographies
63,62,9,6,8,yes,no,yes,yes,yes,1,1,job,yes,no,stubborn,Management,hard worker,yes,no,Quality Assurance Associate,security,Math
62,68,4,7,8,yes,yes,yes,yes,no,2,3,higherstudies,no,no,stubborn,Technical,hard worker,no,no,Web Developer,testing,Childrens
73,60,11,7,4,no,no,yes,no,no,2,2,job,yes,yes,gentle,Technical,hard worker,yes,yes,Web Developer,developer,Mystery
65,60,4,9,4,no,yes,no,no,no,2,3,job,no,yes,stubborn,Management,smart worker,yes,no,Information Security Analyst,security,Math
82,82,12,8,1,no,no,no,no,no,2,2,higherstudies,yes,no,stubborn,Technical,hard worker,yes,no,CRM Business Analyst,Business process analyst,Diaries
60,69,12,6,8,no,yes,no,yes,yes,3,3,job,yes,no,stubborn,Management,hard worker,no,no,Information Security Analyst,cloud computing,Autobiographies
88,70,4,5,5,yes,yes,yes,yes,no,2,1,higherstudies,no,no,stubborn,Technical,hard worker,yes,no,Database Developer,security,Journals
60,84,5,8,8,yes,yes,yes,no,yes,3,1,higherstudies,yes,no,stubborn,Management,hard worker,yes,yes,Business Systems Analyst,security,History
61,65,4,9,5,no,no,no,yes,no,2,3,job,no,yes,gentle,Management,hard worker,no,yes,Quality Assurance Associate,system developer,Art
80,69,9,9,6,no,yes,yes,yes,yes,3,1,job,no,no,gentle,Management,smart worker,no,no,Technical Support,testing,Childrens
77,66,4,7,1,yes,yes,no,yes,no,2,1,higherstudies,no,yes,stubborn,Technical,smart worker,no,yes,Technical Support,cloud computing,Childrens
78,91,12,5,7,yes,yes,no,yes,no,2,3,higherstudies,yes,yes,stubborn,Technical,hard worker,no,yes,Information Security Analyst,developer,History
68,67,4,8,8,no,yes,no,no,yes,3,2,higherstudies,no,yes,stubborn,Management,hard worker,yes,no,Business Intelligence Analyst,Business process analyst,Self help
76,75,12,9,5,yes,yes,yes,no,yes,1,3,job,no,yes,stubborn,Technical,smart worker,no,no,Project Manager,security,Dictionaries
83,87,11,1,8,yes,no,yes,no,yes,3,2,higherstudies,yes,no,gentle,Management,hard worker,no,no,Information Technology Manager,cloud computing,Art
92,85,4,3,6,yes,no,no,yes,yes,3,1,higherstudies,no,yes,gentle,Management,smart worker,yes,yes,Web Developer,Business process analyst,Journals
